liquidity_pool_address,token_pair,fee_tier_bps,protocol_fee_assigned,meets_vol_cut,meets_lp_fees_cut,meets_marketshare_cut,L60d_volume_usd,volume_rank,L60d_lp_fees_usd,lp_fees_rank,uniswap_marketshare,unique_key,annualized_revenue_contribution
0x25bda6e622a477ca702902fab161ace70839994b,Valentine-WETH,100.0,0.166666,no,yes,yes,921077.4594180735,336,9210.774594180746,219,1.0,0x698acb976e0c07078b06cdc5093f7cdaf55d94d6-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9338.664664291846
0x2a216495584e406c39582d3ee583aeda937beba6,ORX-TITANX,100.0,0.166666,no,yes,yes,928790.4223465187,334,9287.904223465186,220,0.9999787612881404,0xd536e7a9543cf9867a580b45cec7f748a1fe11ec-0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,9416.865225623964
0x2a216495584e406c39582d3ee583aeda937beba6,ORX-TITANX,100.0,0.166666,no,yes,yes,918928.7213870506,334,9189.2872138705,220,0.9999787612881404,0xd536e7a9543cf9867a580b45cec7f748a1fe11ec-0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,9316.878935287223
0x764784ea82d072e92c0dab8e89c7391ac1235912,ORX-TITANX,30.0,0.166666,no,yes,yes,8165.433289313569,334,24.496299867940706,220,0.9999787612881404,0xd536e7a9543cf9867a580b45cec7f748a1fe11ec-0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,24.83642690889042
0x764784ea82d072e92c0dab8e89c7391ac1235912,ORX-TITANX,30.0,0.166666,no,yes,yes,8142.902059285869,334,24.428706177857606,220,0.9999787612881404,0xd536e7a9543cf9867a580b45cec7f748a1fe11ec-0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,24.767894691686134
0x463a60837d50cc8901cd314ae454331260a8fff9,HSK-USDC,100.0,0.166666,no,yes,yes,934159.5423123039,340,9341.595423123035,221,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xe7c6bf469e97eeb0bfb74c8dbff5bd47d4c1c98a,9471.301918640527
0x463a60837d50cc8901cd314ae454331260a8fff9,HSK-USDC,100.0,0.166666,no,yes,yes,905035.8324425664,340,9050.358324425664,221,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xe7c6bf469e97eeb0bfb74c8dbff5bd47d4c1c98a,9176.021041367261
0x87986ae1e99f99da1f955d16930dc8914ffbed56,DAI-HOPR,30.0,0.166666,yes,yes,yes,3071079.952950045,178,9213.239858850136,222,1.0,0x6b175474e89094c44da98b954eedeac495271d0f-0xf5581dfefd8fb0e4aec526be659cfab1f8c781da,9341.164158750295
0x87986ae1e99f99da1f955d16930dc8914ffbed56,DAI-HOPR,30.0,0.166666,yes,yes,yes,2981419.5944577553,178,8944.258783373267,222,1.0,0x6b175474e89094c44da98b954eedeac495271d0f-0xf5581dfefd8fb0e4aec526be659cfab1f8c781da,9068.44832587061
0x243de89d1017dcf1152aeefda36cbacbe0c2d960,Monke-WETH,100.0,0.166666,no,yes,yes,907988.2885721459,346,9079.882885721456,224,1.0,0x90ebbafa6c14b00ab82708d6e26330cb25c48740-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9205.955546275885
0x243de89d1017dcf1152aeefda36cbacbe0c2d960,Monke-WETH,100.0,0.166666,no,yes,yes,885342.1711520649,346,8853.421711520657,224,1.0,0x90ebbafa6c14b00ab82708d6e26330cb25c48740-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8976.349996414838
0x983b92ea1f0a20844466f3e4bb988c1de145293e,FLT-WETH,100.0,0.166666,no,yes,yes,937068.6994243939,349,9370.686994243944,225,1.0,0x236501327e701692a281934230af0b6be8df3353-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9500.797421377856
0x983b92ea1f0a20844466f3e4bb988c1de145293e,FLT-WETH,100.0,0.166666,no,yes,yes,847355.5467748556,349,8473.555467748556,225,1.0,0x236501327e701692a281934230af0b6be8df3353-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8591.209373159001
